smiles,permeability_CO2,selectivity_CO2_CH4
Cn1c(=O)c2[c-]c3c(=O)n(-c4c(Br)[cH:22][c:11]5[c:10]([cH:25]4)[C@:9]4([c:4]6[cH:3][c:2]([CH3:27])c(Br)[cH:6][c:5]6-[c:7]6[c:8]4[cH:14][c:15](C)[c:16](C)[cH:17]6)[c:13]4[c:12]-5[cH:21][c:20](C)[c:19](C)[cH:18]4)c(=O)c3[c-]c2c1=O,693.0,18.986301369863014
CN1C(=O)c2cc3c(cc2C1=O)[CH3]c1cc2c(cc1[CH3]3)C(C)(C)CC21CC(C)(C)c2cc3c(cc21)[CH3]c1cc2c(cc1[CH3]3)C(=O)N([cH3]1c(Br)[cH:22][c:11]3[c:10]([cH:25]1)[C@:9]1([c:4]4[cH:3][c:2]([CH3:27])c(Br)[cH:6][c:5]4-[c:7]4[c:8]1[cH:14][c:15](C)[c:16](C)[cH:17]4)[c:13]1[c:12]-3[cH:21][c:20](C)[c:19](C)[cH:18]1)C2=O,1340.0,13.137254901960784
C#c1[cH:2][c:1]([CH3]2C(=O)c3ccc([CH3](c4ccc5c(c4)C(=O)N(C)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c(#C)[c:5]2[c:4]1[CH2:10][CH3]1c3c(C)cc(C)c(C)c3[CH3][N:7]2[CH2:8]1,457.0,16.925925925925927
C#c1[cH:2][c:1]([CH3]2C(=O)c3ccc([CH3]([c:1]4ccc5c(c4)C(=O)N(C)C5=O)=[O:4])cc3C2=O)c(#C)[c:5]2[c:4]1[CH2:10][CH3]1c3c(C)cc(C)c(C)c3[CH3][N:7]2[CH2:8]1,55.0,26.19047619047619
C#c1[c:1]([CH3]2C(=O)c3ccc([CH3](c4ccc5c(c4)C(=O)N(C)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)[cH:2][c:3](C)[c:4]2[c:5]1[N:7]1[CH3]c3c(C)c(C)cc(C)c3[CH3]([CH2:8]1)[CH2:10]2,218.0,32.53731343283582
C#c1[c:1]([CH3]2C(=O)c3ccc([CH3]c4ccc5c(c4)C(=O)N(C)C5=O)cc3C2=O)[cH:2][c:3](C)[c:4]2[c:5]1[N:7]1[CH3]c3c(C)c(C)cc(C)c3[CH3]([CH2:8]1)[CH2:10]2,13.5,13.5
C#c1[c:1]([CH3]2C(=O)c3ccc([CH3]([c:1]4ccc5c(c4)C(=O)N(C)C5=O)=[O:4])cc3C2=O)[cH:2][c:3](C)[c:4]2[c:5]1[N:7]1[CH3]c3c(C)c(C)cc(C)c3[CH3]([CH2:8]1)[CH2:10]2,19.6,11.529411764705884
CN1C(=O)c2ccc([CH3](c3ccc4c(c3)C(=O)[c:7]35([c:2]6[c:1]7c8[c:5]9%10[c:4]3([c:3]6-5)-[c:10](c7#8)([cH:11][cH:12]9)-[c:10]356[c:4]([cH:3][c:2]([cH:12][cH:11]3)[CH2:1][N:7]%10[CH2:8]5)[cH:5][cH:6][c:7]([CH3:8])[cH:9]6)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,155.0,46.96969696969697
CN1C(=O)c2ccc([CH3]c3ccc4c(c3)C(=O)[c:7]35([c:2]6[c:1]7c8[c:5]9%10[c:4]3([c:3]6-5)-[c:10](c7#8)([cH:11][cH:12]9)-[c:10]356[c:4]([cH:3][c:2]([cH:12][cH:11]3)[CH2:1][N:7]%10[CH2:8]5)[cH:5][cH:6][c:7]([CH3:8])[cH:9]6)C4=O)cc2C1=O,13.4,36.21621621621622
Cn1c(=O)c2cc3oc4cc5c(cc4oc3cc2c1=O)C1(CC5(C)C)CC(C)(C)c2cc3oc4cc5c(=O)[c:7]67(c(=O)c5cc4oc3cc21)[c:2]1[c:1]2[c:4]3[c:6]2[c:5]24[c:4]6([c:3]1-7)-[c:10]3([cH:11][cH:12]2)-[c:10]123[c:4]([cH:3][c:2]([cH:12][cH:11]1)[CH2:1][N:7]4[CH2:8]2)[cH:5][cH:6][c:7]([CH3:8])[cH:9]3,895.0,19.88888888888889
C#c1[c:1](-[cH3]2c(=O)c3cc4oc5cc6c(cc5oc4cc3c2=O)C2(CC6(C)C)CC(C)(C)c3cc4oc5cc6c(=O)n(C)c(=O)c6cc5oc4cc32)[cH:2][c:3](C)[c:4]2[c:5]1[N:7]1[CH3]c3c(C)c(C)cc(C)c3[CH3]([CH2:8]1)[CH2:10]2,1213.0,18.661538461538463
C#c1[c:2]([CH3]2C(=O)c3ccc([CH3](c4ccc5c(c4)C(=O)N(C)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c(Br)c(#C)[c:5]2[c:4]1(C)[CH2:10][CH3]1c3c(C)c(C)c(C)c(C)c3[CH3][N:7]2[CH2:8]1,662.0,15.045454545454545
C#c1[cH:2]c(#C)[c:6]([CH3]2C(=O)c3ccc([CH3](c4ccc5c(c4)C(=O)N(C)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)[c:5]2[c:4]1[CH2:10][CH3]1c3c(C)cc(C)c(C)c3[CH3][N:7]2[CH2:8]1,595.0,19.193548387096776
C#c1[c:1]([CH3]2C(=O)c3ccc([CH3](c4ccc5c(c4)C(=O)N(C)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c(#C)[c:5]2[c:4]([cH:3]1)[CH2:10][CH3]1c3cc(C)c(C)c(C)c3[CH3][N:7]2[CH2:8]1,1672.0,14.413793103448276
C#c1[c:1]([CH3]2C(=O)c3cc4c(cc3C2=O)C2(CC4(C)C)CC(C)(C)c3cc4c(cc32)C(=O)N(C)C4=O)c(#C)[c:5]2[c:4]([cH:3]1)[CH2:10][CH3]1c3cc(C)c(C)c(C)c3[CH3][N:7]2[CH2:8]1,5140.0,8.697123519458545
C#c1[c:1](-[cH3]2c(=O)c3[c-]c4c(=O)n(C)c(=O)c4[c-]c3c2=O)c(#C)[c:5]2[c:4]([cH:3]1)[CH2:10][CH3]1c3cc(C)c(C)c(C)c3[CH3][N:7]2[CH2:8]1,4460.0,11.435897435897436
C#c1[c:1]([CH3]2C(=O)c3cc4c(cc3C2=O)-[c:12]2[c:13]([cH:18][c:19](C)[c:20](C)[cH:21]2)[C@:9]42[c:4]3[cH:3][c:2]4[c:1]([cH:6][c:5]3-[c:7]3[c:8]2[cH:14][c:15](C)[c:16](C)[cH:17]3)[C:26](=O)N(C)[C:27]4=O)c(#C)[c:5]2[c:4]([cH:3]1)[CH2:10][CH3]1c3cc(C)c(C)c(C)c3[CH3][N:7]2[CH2:8]1,4476.0,12.064690026954178
Cc1ccc2c(c1)[C@@H]1c3ccccc3[C@H]2c2cc([CH3]3C(=O)c4ccc([CH3](c5ccc6c(c5)C(=O)N(C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)ccc21,120.0,37.5
CN1C(=O)c2ccc([CH3](c3ccc4c(c3)C(=O)[CH:9]([c:1]3[cH:2][cH:3]c([CH3]c5ccc([CH2:8][c:4]6[cH:3][cH:2][c:1]([CH3:9])[cH:6][c:5]6[CH3:7])c6c5[C@H]5c7ccccc7[C@@H]6c6ccccc65)[c:5]([CH3:7])[cH:6]3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,14.4,38.91891891891892
